ID,Images,RecordDate,Material,Origin,MaterialCondition,Dimension,GeometryClass,TurningOrientation,DryingOrientation,Failure Class,State,Intervention,Availability,AcquisitionStripe
MR-25-02,"Recorded%20Objects/MR-25-02.webp, Recorded%20Objects/MR-25-02_B.webp","February 17, 2026 12:15 AM",Oak,Essex,"Mould, Pitch crack"," Ø23 × H29 cm",Rebate rim,Side grain,Lateral,B- Fracture,Stable,"Epoxy infill, Oiling, Scorching, Surface coating (pigmented), Wax retention",Available,https://buy.stripe.com/cNi00lasH4LFcx45vd9ws00
MR-25-11,Recorded%20Objects/MR-25-11.webp,"February 3, 2026 1:06 AM",Oak,Essex,Mould,Ø13 × H23 cm,Plain wall,End grain,,A- Deformation,Resolved,Wax retention,Archive,
MR-26-08,"Recorded%20Objects/MR-26-08.webp, Recorded%20Objects/MR-26-08_A.webp","February 16, 2026 8:16 PM",Oak,Galloway,"Bark pocket, Branch inclusion, Crotch, Insect activity, Surface protuberances"," Ø24 × H29 cm",Plain wall,Mixed,Vertical,A- Deformation,Active,None,Reserved,
MR-26-03,Recorded%20Objects/MR-26-03.webp,"February 3, 2026 1:07 AM",Ash,Surrey,Mould,,Grooved,Side grain,Lateral,A- Deformation,Stable,Soaking,Reserved,
MR-26-13,Recorded%20Objects/MR-26-13.webp,"February 16, 2026 8:13 PM",Oak,Essex,Mould,Ø48 × H29 cm,Grooved,End grain,Lateral,B- Fracture,Active,Soaking,Available,
MR-26-05,Recorded%20Objects/MR-26-05.webp,"February 9, 2026 6:18 PM",Plum,Surrey,Fungal decay,,Stepped wall,Side grain,Vertical,A- Deformation,Stable,,Available,
MR-26-06,Recorded%20Objects/MR-26-06.webp,"February 9, 2026 6:12 PM",Plum,Surrey,"Branch inclusion, Insect activity",,Stepped wall,Mixed,Vertical,B- Fracture,Active,None,Archive,
MR-26-07,"Recorded%20Objects/MR-26-07.webp, Recorded%20Objects/MR-26-07_A.webp, Recorded%20Objects/MR-26-07_B.webp","February 9, 2026 5:47 PM",Oak,Surrey,Bark pocket," Ø21 × H35 cm",Plain wall,Mixed,Lateral,A- Deformation,Active,Wax retention,Available,
MR-26-12,"Recorded%20Objects/MR-26-12.webp, Recorded%20Objects/MR-26-12_B.webp","February 3, 2026 1:09 AM",Ash,Surrey,Mould,,Grooved,Mixed,Lateral,A- Deformation,Stable,"None, Soaking",Available,
MR-25-08,"Recorded%20Objects/MR-25-08.webp, Recorded%20Objects/MR-25-08_A.webp, Recorded%20Objects/MR-25-08_B.webp","February 10, 2026 12:09 AM",Oak,Essex,," Ø23 × H29 cm",Rebate rim,Side grain,Lateral,C - Rupture,Stable,"Butterfly join, Scorching",Archive,
MR-25-01,"Recorded%20Objects/MR-25-01.webp, Recorded%20Objects/MR-25-01_B.webp","February 10, 2026 12:08 AM",Oak,Essex,,Ø26 × H38 cm,Rebate rim,Side grain,Lateral,C - Rupture,Stable,"Scorching, Sealing",Reserved,
MR-25-09,Recorded%20Objects/MR-25-09.webp,"February 10, 2026 12:09 AM",Oak,Essex,," Ø24 × H29 cm",Rebate rim,Side grain,Vertical,C - Rupture,Stable,"Butterfly join, Scorching",Archive,
MR-26-02,Recorded%20Objects/MR-26-02.webp,"February 3, 2026 1:08 AM",Oak,N/A,," Ø23 × H28 cm",Plain wall,Side grain,Lateral,C - Rupture,Resolved,"Scorching, Soaking",Reserved,
MR-26-04,Recorded%20Objects/MR-26-04.webp,"February 3, 2026 1:08 AM",Oak,N/A,," Ø25 × H22 cm",Plain wall,Side grain,Vertical,B- Fracture,Resolved,None,Reserved,
