ID,Images,State,Failure Class,Availability,RecordDate,TurningDate,StableDate,Material,MaterialCondition,Origin,TurningOrientation,DryingOrientation,GeometryClass,Dimension,Intervention,MC Initial (measured at base),MC Record (measured at base),AcquisitionStripe
MR -24 -08,"Recorded%20Objects/MR-24-08.webp, Recorded%20Objects/MR-24-08_A.webp",Resolved,A- Deformation,Available,"February 16, 2026 7:25 PM",09/02/2024,,Oak,Mould,Berkshire,,,,Ø11 × H15cm,Ebonization,,9,
MR-24-10,Recorded%20Objects/MR-24-10.webp,Resolved,C - Rupture,Available,"February 16, 2026 7:15 PM",02/05/2024,,Oak,"Fungal decay, Mould",Tooting,,,,Ø16 × H18 cm,Plasticisation bath,,8,
MR-24-11,"Recorded%20Objects/MR-24-11_A.webp, Recorded%20Objects/MR-24-11_B.webp, Recorded%20Objects/MR-24-11_C.webp",Resolved,C - Rupture,Available,"March 16, 2026 11:07 AM",13/06/2024,,Oak,"Canker, Fungal decay",Tooting,,,,Ø22 × H28 cm,Plasticisation bath,,8,https://buy.stripe.com/cNi00l1Wb7XR9kS9Lt9ws04
MR-24-12,"Recorded%20Objects/MR-24-12_A.webp, Recorded%20Objects/MR-24-12_B.webp",Resolved,C - Rupture,Available,"March 16, 2026 10:57 AM",19/06/2024,,Sycamore,"Canker, Fungal decay",Tooting,,,Plain wall,Ø22 × H28 cm,Plasticisation bath,,8,https://buy.stripe.com/aFacN70S76TNbt0aPx9ws03
MR-24-13,Recorded%20Objects/MR-24-13.webp,Resolved,A- Deformation,Available,"February 16, 2026 7:03 PM",19/08/2024,,Oak,,Essex,,,,Ø22 × H28 cm,,,,
MR-24-14,Recorded%20Objects/MR-24-14.webp,Resolved,A- Deformation,Available,"February 16, 2026 7:04 PM",02/09/2024,,Oak,,Essex,,,,Ø22 × H25 cm,,,,
MR-24-15,Recorded%20Objects/MR-24-15.webp,Resolved,A- Deformation,Available,"February 16, 2026 7:04 PM",30/11/2024,,Oak,,Essex,,,,Ø22 × H24 cm,,,,
MR-24-16,Recorded%20Objects/MR-24-16.webp,Resolved,B- Fracture,Reserved,"February 16, 2026 7:05 PM",05/04/2024,,Oak,,Tooting,,,Plain wall,Ø22 × H28 cm,"Butterfly join, Ebonization",,,
MR-24-17,Recorded%20Objects/MR-24-17.webp,Resolved,B- Fracture,Reserved,"February 16, 2026 7:05 PM",30/04/2024,,Oak,,Tooting,,,Plain wall,Ø22 × H28 cm,"Butterfly join, Ebonization",,,
MR-24-18,Recorded%20Objects/MR-24-18.webp,Resolved,C - Rupture,Archive,"February 16, 2026 7:14 PM",24/05/2024,,Oak,,Tooting,,,,Ø12 × H21cm,,,,
MR-24-19,Recorded%20Objects/MR-24-19.webp,Resolved,C - Rupture,Archive,"February 16, 2026 7:14 PM",30/05/2024,,Oak,,Tooting,,,,Ø13 × H30 cm,,,,
MR-25-00,Recorded%20Objects/MR-25-00.webp,Resolved,A- Deformation,Reserved,"February 16, 2026 7:14 PM",13/02/2025,,Oak,,Essex,Side grain,,Rebate rim," Ø23 × H25 cm",,,,
MR-25-01,"Recorded%20Objects/MR-25-01.webp, Recorded%20Objects/MR-25-01_B.webp",Stable,C - Rupture,Reserved,"February 9, 2026 11:08 PM",19/06/2025,10/07/2025,Oak,,Essex,Side grain,Lateral,Rebate rim,Ø26 × H38 cm,"Scorching, Sealing",,,
MR-25-02,"Recorded%20Objects/MR-25-02.webp, Recorded%20Objects/MR-25-02_B.webp",Stable,B- Fracture,Available,"February 16, 2026 11:15 PM",01/06/2025,10/07/2025,Oak,"Mould, Pitch crack",Essex,Side grain,Lateral,Rebate rim," Ø23 × H29 cm","Epoxy infill, Oiling, Scorching, Surface coating (pigmented), Wax retention",23,9,https://buy.stripe.com/cNi00lasH4LFcx45vd9ws00
MR-25-03,Recorded%20Objects/MR-25-03.webp,Stable,B- Fracture,Reserved,"February 16, 2026 7:13 PM",01/06/2025,04/06/2025,Oak,,Essex,Side grain,Vertical,Rebate rim," Ø23 × H24 cm","Epoxy infill, Scorching",,,
MR-25-04,Recorded%20Objects/MR-25-04.webp,Stable,B- Fracture,Archive,"February 16, 2026 7:13 PM",01/06/2025,04/06/2025,Oak,,Essex,Side grain,Lateral,Rebate rim," Ø23 × H24 cm","Epoxy infill, Scorching",,,
MR-25-05,"Recorded%20Objects/MR-25-05_A.webp, Recorded%20Objects/MR-25-05_B.webp, Recorded%20Objects/MR-25-05_C.webp, Recorded%20Objects/MR-25-05_D.webp",Resolved,B- Fracture,Available,"March 16, 2026 6:32 PM",01/06/2025,15/07/2025,Oak,,Essex,Side grain,Lateral,Rebate rim," Ø23 × H32 cm",Scorching,24,8,https://buy.stripe.com/28EeVf0S7dibcx45vd9ws06
MR-25-06,"Recorded%20Objects/MR-25-06_A.webp, Recorded%20Objects/MR-25-06_B.webp, Recorded%20Objects/MR-25-06_C.webp, Recorded%20Objects/MR-25-06_D.webp",Resolved,B- Fracture,Available,"March 16, 2026 6:32 PM",01/06/2025,20/07/2025,Oak,,Essex,Side grain,Lateral,Rebate rim," Ø23 × H29 cm",Scorching,24,8,https://buy.stripe.com/dRm9AV44j2DxdB86zh9ws05
MR-25-08,"Recorded%20Objects/MR-25-08_A.webp, Recorded%20Objects/MR-25-08_B.webp, Recorded%20Objects/MR-25-08_C.webp, Recorded%20Objects/MR-25-08_D.webp",Resolved,C - Rupture,Available,"March 16, 2026 6:32 PM",01/06/2025,15/07/2025,Oak,,Essex,Side grain,Lateral,Rebate rim," Ø23 × H29 cm","Butterfly join, Scorching",28,9,https://buy.stripe.com/3cIaEZ58n0vpaoWe1J9ws07
MR-25-09,Recorded%20Objects/MR-25-09.webp,Stable,C - Rupture,Archive,"February 9, 2026 11:09 PM",24/06/2025,22/10/2025,Oak,,Essex,Side grain,Vertical,Rebate rim," Ø24 × H29 cm","Butterfly join, Scorching",28,,
MR-25-10,"Recorded%20Objects/MR-25-10_A.webp, Recorded%20Objects/MR-25-10_B.webp, Recorded%20Objects/MR-25-10_C.webp, Recorded%20Objects/MR-25-10_D.webp, Recorded%20Objects/MR-25-10_E.webp, Recorded%20Objects/MR-25-10_F.webp, Recorded%20Objects/MR-25-10_G.webp",Stable,B- Fracture,Archive,"March 20, 2026 6:55 PM",14/05/2025,14/08/2025,Sycamore,,London,End grain,Vertical,Plain wall,Ø18 × H33 cm,None,,9,
MR-25-11,Recorded%20Objects/MR-25-11.webp,Resolved,A- Deformation,Archive,"February 3, 2026 12:06 AM",06/05/2025,04/08/2025,Oak,Mould,Essex,End grain,,Plain wall,Ø13 × H23 cm,Wax retention,,8,
MR-25-12,"Recorded%20Objects/MR-25-12.webp, Recorded%20Objects/MR-25-12_A.webp",Resolved,C - Rupture,Reserved,"February 22, 2026 9:20 PM",,,Oak,Crotch,N/A,,,,Ø21 × H21 cm,Scorching,,,
MR-25-13,"Recorded%20Objects/MR-25-13.webp, Recorded%20Objects/MR-25-13_A.webp",Resolved,B- Fracture,Reserved,"February 22, 2026 9:28 PM",,,,,,,,,,,,,
MR-26-01,"Recorded%20Objects/MR-26-01_A.webp, Recorded%20Objects/MR-26-01_B.webp, Recorded%20Objects/MR-26-01_C.webp, Recorded%20Objects/MR-26-01_D.webp, Recorded%20Objects/MR-26-01_H2.webp, Recorded%20Objects/MR-26-01_H4.webp",Resolved,C - Rupture,Available,"March 16, 2026 10:37 AM",15/12/2025,18/01/2026,Oak,Pitch crack,Essex,Side grain,Vertical,Grooved,Ø22 × H28 cm,"Butterfly join, None",21,9,https://buy.stripe.com/6oUdRb0S77XR0Om2j19ws02
MR-26-02,Recorded%20Objects/MR-26-02.webp,Resolved,C - Rupture,Reserved,"February 3, 2026 12:08 AM",,06/01/2026,Oak,,N/A,Side grain,Lateral,Plain wall," Ø23 × H28 cm","Scorching, Soaking",,,
